instance_id,n_nodes,optimal_tour_length,hybrid_tour_length,lk_tour_length,nn_tour_length,hybrid_gap_percent,hybrid_runtime_ms,lk_runtime_ms,coordinates
WH_0158,49,43.37,45.46,44.28,51.48,4.81,68.4,321.2,"[(70.0,37.6),(91.5,7.9),(8.8,17.1),(86.1,8.0),(79.3,38.3)...]"
WH_0159,71,49.64,52.56,50.69,58.93,5.87,48.8,314.2,"[(39.3,49.8),(84.6,47.3),(4.7,36.5),(78.2,27.9),(20.7,29.5)...]"
WH_0160,52,41.61,43.9,42.49,49.4,5.5,62.0,324.9,"[(51.5,29.3),(11.2,12.7),(65.2,40.9),(60.9,2.7),(51.6,35.0)...]"
WH_0161,73,60.4,65.09,61.67,71.69,7.77,70.0,346.7,"[(96.6,19.2),(45.5,29.3),(78.6,36.3),(91.7,31.8),(68.3,35.7)...]"
WH_0162,77,62.19,64.9,63.5,73.82,4.35,59.7,300.0,"[(89.8,13.2),(31.7,11.5),(96.3,32.9),(81.2,5.8),(83.7,19.4)...]"
WH_0163,54,45.18,46.82,46.13,53.63,3.63,62.8,251.6,"[(93.3,25.1),(93.2,0.8),(57.2,45.0),(29.8,41.3),(99.7,8.7)...]"
WH_0164,75,60.99,63.26,62.27,72.4,3.72,45.3,333.1,"[(93.9,16.9),(1.1,48.2),(0.6,1.1),(50.5,38.4),(48.8,48.3)...]"
WH_0165,68,48.21,51.68,49.22,57.23,7.2,68.6,240.2,"[(21.9,10.2),(45.6,25.2),(85.2,35.6),(82.4,38.7),(89.2,0.0)...]"
WH_0166,73,49.43,52.56,50.47,58.67,6.35,65.0,321.5,"[(82.3,34.9),(25.5,37.6),(42.7,49.1),(90.1,0.3),(45.5,31.7)...]"
WH_0167,86,58.34,60.66,59.57,69.25,3.97,53.0,340.5,"[(39.7,46.9),(38.4,21.4),(65.8,36.2),(9.3,41.5),(73.6,44.9)...]"
WH_0168,61,53.88,56.81,55.01,63.96,5.44,51.8,237.4,"[(42.9,7.1),(93.9,33.7),(99.1,19.6),(52.7,20.0),(28.8,38.2)...]"
WH_0169,54,44.77,47.46,45.71,53.15,5.99,62.9,337.6,"[(19.3,1.0),(97.1,3.3),(54.9,22.9),(18.3,36.9),(84.1,7.9)...]"
WH_0170,53,44.74,46.94,45.68,53.11,4.91,52.7,232.4,"[(17.9,13.9),(48.3,4.7),(90.9,14.0),(32.3,16.1),(96.8,48.4)...]"
WH_0171,54,41.92,43.3,42.81,49.76,3.29,68.9,252.8,"[(89.2,32.3),(1.1,7.3),(0.2,17.1),(82.7,45.5),(99.7,45.6)...]"
WH_0172,63,42.33,45.69,43.22,50.24,7.94,47.6,246.9,"[(45.3,45.9),(63.9,5.5),(87.7,11.9),(52.5,11.7),(37.4,49.8)...]"
WH_0173,68,56.25,60.45,57.43,66.77,7.46,58.7,256.1,"[(34.8,11.6),(54.1,0.7),(29.4,32.7),(27.6,24.7),(86.9,39.1)...]"
WH_0174,67,48.8,50.83,49.83,57.93,4.16,64.6,308.9,"[(30.3,11.1),(22.4,19.5),(14.5,25.8),(18.4,25.3),(6.3,37.7)...]"
WH_0175,73,54.05,56.42,55.18,64.15,4.39,46.3,305.1,"[(61.9,23.8),(61.8,15.4),(68.3,25.4),(38.5,25.1),(86.9,30.5)...]"
WH_0176,64,50.74,52.05,51.81,60.23,2.59,47.3,336.4,"[(7.7,30.7),(5.8,31.1),(48.5,2.3),(95.8,30.4),(42.7,18.7)...]"
WH_0177,81,51.97,53.43,53.06,61.69,2.81,65.9,304.3,"[(79.0,17.9),(97.2,35.8),(60.8,28.9),(52.2,48.1),(51.9,19.3)...]"
WH_0178,60,49.3,51.09,50.34,58.52,3.63,45.8,301.6,"[(61.2,13.6),(66.8,0.3),(23.7,6.9),(44.5,22.0),(63.3,7.3)...]"
WH_0179,87,65.88,68.01,67.26,78.19,3.25,53.2,284.7,"[(39.5,14.7),(1.0,39.8),(67.4,20.1),(71.2,33.3),(62.9,46.7)...]"
WH_0180,71,55.56,58.02,56.72,65.94,4.43,59.5,301.9,"[(18.5,36.2),(46.7,31.6),(83.6,39.8),(87.3,22.4),(4.9,6.1)...]"
WH_0181,53,38.86,40.83,39.68,46.13,5.07,64.4,304.7,"[(59.7,35.0),(66.6,7.0),(20.0,32.9),(26.9,38.3),(44.0,28.6)...]"
WH_0182,51,38.66,40.89,39.47,45.88,5.79,53.8,314.5,"[(14.4,48.5),(59.5,17.9),(13.1,47.9),(40.1,1.9),(56.9,46.3)...]"
WH_0183,69,46.45,49.33,47.42,55.13,6.22,54.7,334.1,"[(92.3,19.4),(63.7,45.3),(95.2,42.8),(9.2,25.8),(6.1,11.9)...]"
WH_0184,61,45.41,47.59,46.37,53.91,4.8,60.7,311.8,"[(12.0,23.6),(61.7,29.0),(60.1,11.0),(86.0,26.3),(0.3,0.6)...]"
WH_0185,72,55.58,58.2,56.74,65.97,4.73,67.1,270.4,"[(3.3,35.7),(56.7,30.4),(17.0,46.8),(14.0,21.1),(62.3,40.4)...]"
WH_0186,69,58.23,60.53,59.45,69.12,3.96,69.1,234.4,"[(60.3,34.6),(21.0,10.7),(41.7,46.7),(92.8,25.8),(56.6,23.0)...]"
WH_0187,63,46.11,47.9,47.08,54.73,3.88,53.9,275.1,"[(79.7,23.2),(44.7,36.5),(32.4,41.7),(73.9,27.3),(61.4,23.7)...]"
WH_0188,53,43.75,45.17,44.67,51.93,3.25,62.9,264.4,"[(65.5,42.6),(27.3,6.0),(5.1,44.9),(37.3,4.0),(85.6,17.4)...]"
WH_0189,45,44.07,45.26,44.99,52.31,2.72,48.4,274.4,"[(34.7,42.2),(73.4,26.7),(31.0,47.2),(20.1,3.9),(80.8,25.7)...]"
WH_0190,58,40.74,41.77,41.6,48.36,2.52,62.8,220.0,"[(98.7,2.7),(28.5,22.8),(53.1,37.3),(74.3,29.2),(1.3,8.8)...]"
WH_0191,74,46.77,49.06,47.75,55.51,4.91,59.7,266.5,"[(6.3,44.6),(40.8,36.1),(84.1,5.3),(14.5,2.7),(55.5,40.2)...]"
WH_0192,66,51.82,54.5,52.91,61.51,5.17,61.2,294.7,"[(69.0,32.4),(47.1,2.9),(32.9,40.9),(26.5,28.3),(92.6,42.4)...]"
WH_0193,49,40.06,42.17,40.9,47.55,5.26,62.2,290.6,"[(8.2,9.8),(67.0,45.4),(47.0,46.6),(43.8,2.6),(86.0,29.7)...]"
WH_0194,66,54.73,55.82,55.88,64.96,2.0,66.3,284.9,"[(47.3,7.9),(44.3,50.0),(49.8,14.8),(43.4,20.3),(54.1,43.6)...]"
WH_0195,68,45.82,47.81,46.78,54.39,4.35,66.1,269.5,"[(9.6,36.9),(38.1,41.5),(93.2,5.2),(23.0,29.3),(32.0,7.1)...]"
WH_0196,53,43.05,45.26,43.96,51.1,5.12,62.9,240.5,"[(9.6,40.4),(56.8,30.6),(28.0,32.4),(66.0,48.6),(65.8,30.9)...]"
WH_0197,65,54.42,56.55,55.57,64.6,3.91,52.3,258.4,"[(30.9,10.5),(70.3,17.8),(65.1,39.1),(9.1,32.2),(57.7,16.3)...]"
WH_0198,64,48.53,51.41,49.55,57.61,5.93,47.0,317.3,"[(50.8,35.7),(13.4,43.1),(38.5,33.1),(18.2,1.5),(26.5,42.9)...]"
WH_0199,50,48.24,51.64,49.25,57.26,7.04,71.3,239.2,"[(6.4,28.0),(18.6,25.3),(41.7,32.5),(46.3,37.7),(40.6,27.7)...]"
WH_0200,68,54.82,57.63,55.97,65.07,5.14,63.9,331.1,"[(39.5,40.2),(66.5,49.9),(30.5,3.1),(26.7,21.6),(81.4,1.3)...]"
WH_0201,70,58.2,61.27,59.43,69.09,5.26,71.5,310.3,"[(8.7,36.3),(10.8,14.1),(64.1,29.4),(95.4,7.2),(46.6,20.2)...]"
WH_0202,76,47.61,51.79,48.61,56.51,8.79,67.7,344.9,"[(60.1,20.3),(40.9,44.4),(90.2,10.8),(29.6,32.2),(0.9,6.7)...]"
WH_0203,76,48.62,50.91,49.64,57.71,4.72,67.4,283.9,"[(40.6,2.9),(22.5,8.4),(1.9,20.7),(23.7,18.6),(70.0,20.9)...]"
WH_0204,47,48.93,51.3,49.96,58.08,4.84,69.0,323.3,"[(64.2,8.5),(41.1,14.7),(34.6,1.0),(22.2,23.6),(77.1,38.4)...]"
WH_0205,52,44.14,45.06,45.07,52.4,2.09,60.8,273.1,"[(69.5,49.4),(57.4,39.7),(12.1,19.0),(16.6,28.8),(82.0,31.2)...]"
WH_0206,70,48.18,50.41,49.19,57.19,4.64,45.8,330.2,"[(65.4,24.0),(95.2,47.2),(52.9,1.2),(78.7,35.6),(75.3,20.5)...]"
WH_0207,70,60.07,61.69,61.33,71.31,2.69,50.8,254.9,"[(32.6,45.0),(68.1,45.1),(94.8,6.4),(56.5,10.2),(39.7,20.4)...]"
WH_0208,70,53.26,55.72,54.38,63.22,4.62,71.8,238.9,"[(51.1,47.3),(33.6,5.2),(45.5,17.1),(16.6,6.7),(32.7,41.8)...]"
WH_0209,87,58.13,61.55,59.35,69.0,5.9,52.4,326.7,"[(10.0,9.1),(43.8,23.4),(56.3,28.4),(29.4,22.6),(30.3,45.9)...]"
WH_0210,70,45.21,46.95,46.16,53.67,3.84,47.5,236.1,"[(61.2,38.2),(37.3,3.9),(4.1,29.5),(23.2,27.5),(88.9,30.5)...]"
WH_0211,77,56.59,61.68,57.78,67.17,8.99,57.0,288.1,"[(43.1,2.3),(29.1,23.4),(80.7,21.3),(47.4,18.0),(48.5,39.1)...]"
WH_0212,75,57.91,60.83,59.13,68.74,5.05,50.7,280.9,"[(39.8,2.7),(71.7,44.5),(87.7,15.3),(84.1,6.9),(78.6,4.4)...]"
WH_0213,71,51.15,52.34,52.23,60.72,2.32,46.6,336.6,"[(65.4,43.3),(53.9,25.5),(60.8,30.4),(54.6,37.9),(19.9,21.3)...]"
WH_0214,60,46.48,49.16,47.45,55.17,5.77,58.3,266.7,"[(53.4,37.2),(13.5,29.7),(5.3,3.9),(12.0,44.5),(47.1,30.8)...]"
WH_0215,73,54.95,56.54,56.1,65.22,2.89,63.3,298.2,"[(55.3,6.5),(23.9,43.0),(63.5,33.2),(85.4,35.5),(22.4,46.8)...]"
WH_0216,54,51.55,53.12,52.63,61.19,3.05,48.1,268.0,"[(16.7,39.7),(88.5,0.7),(68.0,44.0),(36.3,47.7),(68.4,28.8)...]"
WH_0217,61,52.11,54.92,53.2,61.85,5.4,63.2,313.8,"[(36.4,14.0),(12.2,43.6),(9.8,44.8),(38.5,32.5),(99.2,38.6)...]"
WH_0218,58,46.46,49.41,47.43,55.14,6.35,50.8,331.8,"[(26.1,46.1),(58.3,29.5),(84.2,38.7),(29.6,19.9),(89.7,49.6)...]"
WH_0219,64,51.26,54.09,52.33,60.84,5.53,69.5,235.2,"[(74.9,38.7),(35.4,17.8),(68.2,0.4),(18.4,36.7),(38.2,50.0)...]"
WH_0220,87,55.75,58.86,56.92,66.18,5.57,53.9,317.4,"[(14.5,31.6),(8.3,49.3),(93.5,16.9),(47.5,48.6),(6.4,7.3)...]"
WH_0221,42,44.81,47.48,45.75,53.19,5.95,67.3,257.4,"[(7.5,48.1),(86.0,43.0),(81.6,42.5),(76.6,41.1),(30.9,15.5)...]"
WH_0222,72,51.61,53.04,52.69,61.26,2.78,47.9,326.8,"[(40.5,40.9),(57.0,12.4),(51.9,15.4),(3.9,42.3),(9.9,24.6)...]"
WH_0223,44,40.36,42.48,41.2,47.9,5.25,62.3,326.1,"[(21.2,5.2),(71.3,42.9),(17.9,4.2),(1.7,10.7),(16.0,11.5)...]"
WH_0224,58,48.99,50.65,50.02,58.15,3.38,65.1,318.9,"[(28.9,13.8),(98.1,22.3),(43.9,10.6),(29.6,2.5),(34.8,25.8)...]"
WH_0225,77,50.73,52.49,51.8,60.22,3.46,45.6,291.3,"[(71.6,4.8),(72.6,3.7),(5.9,4.4),(53.4,28.6),(78.3,19.9)...]"
WH_0226,64,51.7,54.53,52.79,61.37,5.48,59.5,241.4,"[(22.4,36.7),(7.9,44.6),(73.0,8.2),(49.8,36.3),(79.6,22.3)...]"
WH_0227,51,38.77,40.67,39.58,46.01,4.92,51.3,266.2,"[(23.8,30.5),(6.7,38.8),(6.6,27.6),(1.4,3.0),(22.0,35.3)...]"
WH_0228,55,49.42,51.83,50.46,58.66,4.87,58.0,339.1,"[(14.5,45.7),(19.5,43.4),(77.5,44.8),(26.2,3.1),(44.9,42.0)...]"
WH_0229,72,47.42,48.38,48.41,56.28,2.04,70.3,275.6,"[(57.5,13.6),(13.5,23.7),(54.8,0.9),(18.1,2.6),(76.8,0.8)...]"
WH_0230,55,52.08,53.42,53.18,61.82,2.56,46.4,230.9,"[(69.0,37.1),(60.2,10.4),(14.1,42.4),(94.0,21.0),(34.6,10.8)...]"
WH_0231,66,48.34,49.59,49.35,57.38,2.6,56.9,345.3,"[(69.9,1.7),(19.1,42.1),(31.7,11.8),(13.6,19.7),(33.2,18.6)...]"
WH_0232,64,48.69,51.9,49.71,57.79,6.59,55.1,306.6,"[(62.6,18.3),(94.9,27.6),(72.2,16.4),(72.5,43.8),(59.2,43.2)...]"
WH_0233,56,50.26,53.4,51.32,59.66,6.24,56.6,242.3,"[(35.8,47.7),(2.0,26.8),(43.9,49.8),(22.4,7.1),(2.9,43.1)...]"
WH_0234,87,59.63,62.11,60.88,70.78,4.16,70.2,264.9,"[(98.6,9.2),(17.7,31.3),(56.8,48.5),(56.9,26.1),(37.3,9.4)...]"
WH_0235,71,59.23,62.18,60.47,70.31,4.98,63.4,273.8,"[(18.6,23.6),(94.2,4.7),(46.1,30.1),(41.7,42.8),(26.8,36.9)...]"
WH_0236,42,41.31,44.41,42.18,49.04,7.5,45.7,345.6,"[(64.7,31.8),(25.8,26.6),(43.5,9.2),(21.0,6.2),(3.8,24.3)...]"
WH_0237,66,52.42,55.67,53.52,62.22,6.21,48.0,267.4,"[(34.1,42.3),(69.5,45.2),(81.0,11.1),(27.9,3.0),(74.9,4.5)...]"
WH_0238,56,51.38,56.01,52.46,60.99,9.0,66.3,324.0,"[(17.9,42.5),(33.1,41.1),(95.1,23.5),(68.3,10.6),(0.8,45.5)...]"
WH_0239,74,48.75,49.73,49.78,57.87,2.0,63.8,290.9,"[(9.5,14.3),(82.2,6.2),(21.4,14.4),(2.6,36.4),(21.8,12.1)...]"
WH_0240,54,48.99,51.5,50.02,58.16,5.11,56.5,244.9,"[(1.8,6.6),(74.4,8.6),(18.9,43.2),(82.5,26.4),(35.5,35.3)...]"
WH_0241,62,51.32,54.71,52.39,60.91,6.61,58.9,259.0,"[(8.0,24.7),(67.2,3.4),(31.7,32.0),(22.9,21.6),(38.0,20.6)...]"
WH_0242,70,53.46,57.69,54.58,63.46,7.92,71.0,302.8,"[(64.4,11.4),(90.8,28.0),(0.7,44.1),(13.4,23.3),(12.0,25.3)...]"
WH_0243,74,56.24,59.34,57.42,66.76,5.51,47.3,235.3,"[(44.0,48.0),(71.6,15.9),(82.5,32.2),(59.1,15.8),(87.2,5.5)...]"
WH_0244,49,39.32,41.36,40.15,46.68,5.19,58.0,256.9,"[(5.2,19.8),(53.2,11.9),(62.3,46.9),(40.4,20.3),(79.8,32.7)...]"
WH_0245,59,53.71,58.54,54.83,63.75,9.0,69.9,286.7,"[(99.3,14.8),(58.0,21.4),(56.6,48.2),(22.1,32.7),(40.9,39.1)...]"
WH_0246,58,44.48,47.19,45.42,52.8,6.09,70.2,301.3,"[(83.8,3.9),(32.4,36.1),(97.7,27.7),(7.9,6.4),(72.5,30.7)...]"
WH_0247,56,45.47,46.58,46.43,53.98,2.43,46.9,268.0,"[(48.4,10.0),(58.0,15.9),(74.8,24.2),(15.5,41.9),(86.5,15.7)...]"
WH_0248,85,57.67,61.09,58.88,68.45,5.94,60.9,321.7,"[(52.4,6.3),(56.2,0.1),(60.1,8.9),(54.9,41.2),(24.6,40.1)...]"
WH_0249,68,57.79,60.26,59.01,68.6,4.28,64.0,268.3,"[(22.7,38.9),(12.8,49.0),(48.3,4.4),(15.8,41.1),(69.4,18.9)...]"
WH_0250,48,41.78,43.62,42.66,49.59,4.42,57.5,241.3,"[(31.8,15.2),(67.1,33.9),(33.3,35.6),(57.3,33.8),(29.9,47.3)...]"
WH_0251,75,55.73,59.02,56.9,66.15,5.91,59.8,326.2,"[(39.2,14.2),(72.7,0.5),(21.7,14.2),(18.2,19.0),(37.6,4.6)...]"
WH_0252,87,61.08,63.47,62.36,72.5,3.91,48.2,257.9,"[(81.5,6.3),(8.7,14.8),(60.7,29.9),(48.3,42.3),(94.6,19.3)...]"
WH_0253,76,56.1,60.26,57.28,66.59,7.42,63.3,334.4,"[(65.7,20.9),(82.6,13.0),(32.1,5.9),(79.9,42.6),(67.8,43.9)...]"
WH_0254,45,36.96,38.93,37.74,43.87,5.32,61.6,264.2,"[(88.7,23.8),(40.8,5.3),(13.7,5.3),(63.0,48.2),(87.4,49.0)...]"
WH_0255,58,52.47,55.85,53.58,62.29,6.43,66.8,295.3,"[(80.4,47.9),(59.0,19.4),(38.8,43.9),(98.4,38.1),(6.6,17.0)...]"
WH_0256,79,61.87,64.26,63.17,73.44,3.86,52.2,249.1,"[(64.7,24.7),(4.0,18.2),(36.7,46.2),(26.3,16.6),(15.0,26.9)...]"
WH_0257,55,51.53,55.74,52.61,61.17,8.16,64.8,259.0,"[(24.7,2.8),(53.8,5.3),(29.1,13.8),(14.7,11.0),(99.5,43.7)...]"
WH_0258,69,53.78,55.51,54.91,63.84,3.21,47.2,228.5,"[(96.8,19.5),(86.5,41.9),(29.0,47.1),(67.5,20.9),(71.8,23.0)...]"
WH_0259,73,58.26,59.42,59.48,69.15,2.0,70.1,309.0,"[(30.5,36.8),(43.0,41.8),(27.5,35.8),(65.1,32.0),(19.5,11.4)...]"
WH_0260,52,39.9,40.69,40.73,47.36,2.0,68.1,247.3,"[(62.1,5.4),(75.8,29.2),(56.1,42.4),(15.9,47.7),(31.9,43.0)...]"
WH_0261,63,49.54,51.99,50.58,58.81,4.94,59.2,246.6,"[(64.3,20.9),(51.6,45.8),(54.4,2.1),(19.5,40.1),(63.5,6.8)...]"
WH_0262,42,41.14,44.18,42.0,48.83,7.39,60.8,252.3,"[(72.1,2.3),(42.2,33.0),(74.2,29.4),(40.9,33.1),(10.9,25.3)...]"
WH_0263,51,45.05,46.9,46.0,53.48,4.09,51.8,290.7,"[(79.4,8.6),(49.7,13.3),(0.7,25.1),(59.1,41.9),(79.8,14.2)...]"
WH_0264,60,45.47,48.51,46.43,53.98,6.68,46.9,334.3,"[(7.9,16.4),(53.2,38.4),(30.4,8.7),(38.3,19.1),(79.1,1.5)...]"
WH_0265,49,46.79,50.71,47.78,55.54,8.36,57.6,222.2,"[(59.4,45.7),(53.5,5.4),(13.1,37.2),(48.9,29.0),(39.9,17.9)...]"
WH_0266,83,60.94,63.74,62.22,72.33,4.61,56.5,290.7,"[(54.3,43.5),(62.5,9.3),(98.1,22.3),(4.1,2.2),(51.2,2.0)...]"
WH_0267,46,38.56,40.18,39.37,45.77,4.19,58.5,287.1,"[(92.4,25.1),(63.2,40.2),(64.3,13.3),(78.5,8.5),(11.5,37.7)...]"
WH_0268,58,43.95,44.83,44.87,52.17,2.0,60.0,327.8,"[(22.5,19.3),(51.6,49.1),(48.2,45.0),(20.9,9.7),(98.8,25.3)...]"
WH_0269,65,56.63,58.95,57.82,67.22,4.09,64.2,326.0,"[(87.3,18.2),(28.7,20.1),(10.4,1.2),(23.3,29.5),(94.5,6.1)...]"
WH_0270,81,60.48,61.94,61.75,71.78,2.43,70.2,240.6,"[(47.8,34.0),(18.1,44.8),(27.1,21.1),(41.9,28.0),(36.5,11.4)...]"
WH_0271,46,48.24,50.89,49.25,57.26,5.51,51.3,341.5,"[(46.6,44.1),(31.5,29.3),(35.7,39.5),(40.6,22.5),(95.2,5.2)...]"
WH_0272,77,53.55,54.83,54.67,63.56,2.4,64.7,306.8,"[(75.6,17.8),(27.3,15.6),(0.6,44.0),(79.9,12.8),(42.4,17.7)...]"
WH_0273,64,53.85,58.69,54.98,63.92,9.0,50.7,301.8,"[(22.7,31.7),(16.3,34.5),(78.4,39.3),(95.6,29.7),(76.8,12.6)...]"
WH_0274,52,38.6,41.72,39.41,45.81,8.1,48.6,254.3,"[(77.1,30.4),(88.5,44.2),(73.7,29.8),(57.6,22.3),(67.3,39.8)...]"
WH_0275,69,45.86,48.78,46.82,54.43,6.38,56.1,308.9,"[(72.1,7.3),(47.6,30.7),(75.8,23.5),(48.7,44.8),(55.6,26.0)...]"
WH_0276,66,56.36,58.4,57.55,66.9,3.62,60.1,267.3,"[(16.6,17.8),(53.9,21.9),(12.7,33.6),(53.6,48.4),(24.4,44.5)...]"
WH_0277,56,44.37,46.92,45.3,52.67,5.75,46.2,269.3,"[(48.2,39.8),(84.2,17.3),(85.3,6.9),(84.6,23.3),(59.7,19.6)...]"
WH_0278,64,50.21,51.61,51.26,59.6,2.79,51.2,286.9,"[(80.8,17.2),(29.5,41.3),(93.1,11.3),(95.6,4.3),(81.6,30.2)...]"
WH_0279,59,43.91,46.05,44.83,52.12,4.87,56.5,275.3,"[(68.3,15.8),(8.6,11.2),(87.0,48.5),(59.4,40.1),(99.0,31.5)...]"
WH_0280,65,51.66,53.72,52.74,61.32,3.98,66.0,283.8,"[(20.9,12.8),(94.7,19.1),(0.4,29.0),(89.2,36.6),(73.7,30.3)...]"
WH_0281,71,54.49,56.91,55.63,64.67,4.44,52.3,306.3,"[(83.1,20.7),(13.1,0.3),(73.4,39.5),(94.3,44.0),(33.2,8.7)...]"
WH_0282,83,53.95,58.66,55.08,64.04,8.73,47.6,233.7,"[(37.1,14.2),(21.9,46.9),(40.9,30.3),(76.3,37.3),(47.6,45.1)...]"
WH_0283,49,42.7,44.58,43.6,50.69,4.39,65.6,321.0,"[(13.6,17.7),(61.5,29.7),(10.6,32.3),(57.0,35.3),(58.8,41.1)...]"
WH_0284,87,60.92,63.11,62.2,72.31,3.6,56.4,325.5,"[(72.6,21.8),(3.9,46.4),(13.3,14.8),(93.6,39.7),(8.1,7.9)...]"
WH_0285,42,42.7,44.33,43.6,50.69,3.8,47.9,328.4,"[(43.2,35.9),(57.2,40.1),(32.1,37.7),(70.4,33.8),(65.5,2.4)...]"
WH_0286,62,50.8,54.33,51.87,60.3,6.94,63.7,293.9,"[(76.2,23.8),(68.4,4.9),(91.1,8.7),(48.9,3.1),(12.8,28.0)...]"
WH_0287,71,58.41,62.38,59.63,69.33,6.8,52.5,302.8,"[(51.4,10.9),(22.8,19.0),(23.6,26.5),(76.8,48.8),(1.9,26.8)...]"
WH_0288,67,57.04,60.31,58.24,67.7,5.74,63.4,262.3,"[(71.4,43.9),(38.3,15.5),(81.2,19.3),(0.3,19.4),(59.5,36.7)...]"
WH_0289,56,40.69,41.98,41.55,48.3,3.17,49.8,297.6,"[(87.1,14.9),(59.8,5.0),(84.9,22.3),(46.9,30.6),(50.1,46.5)...]"
WH_0290,61,42.46,44.44,43.35,50.4,4.66,48.8,257.8,"[(59.2,10.3),(4.3,38.7),(44.3,11.2),(53.0,4.6),(26.8,29.9)...]"
WH_0291,58,49.87,52.27,50.91,59.19,4.83,53.3,269.7,"[(97.6,1.3),(96.6,22.8),(82.8,16.3),(23.3,49.4),(44.2,43.4)...]"
WH_0292,56,45.96,48.03,46.92,54.55,4.52,52.8,261.5,"[(49.8,20.1),(60.0,30.8),(58.4,19.1),(63.1,15.6),(84.5,17.7)...]"
WH_0293,74,46.75,50.83,47.73,55.49,8.73,60.0,325.5,"[(0.4,2.5),(96.4,1.4),(51.7,7.4),(57.3,33.4),(66.6,24.7)...]"
WH_0294,68,57.7,60.74,58.91,68.49,5.27,50.8,235.2,"[(84.5,35.2),(23.3,4.0),(46.0,47.7),(63.5,9.8),(97.8,33.0)...]"
WH_0295,55,51.91,56.58,53.0,61.62,9.0,62.6,229.2,"[(36.4,31.3),(59.2,12.8),(86.7,38.6),(96.6,25.3),(75.1,4.3)...]"
WH_0296,74,54.81,56.93,55.97,65.07,3.86,57.2,340.2,"[(1.8,18.1),(93.8,39.4),(27.2,31.3),(38.0,31.0),(68.2,24.4)...]"
WH_0297,67,58.5,60.48,59.72,69.43,3.38,69.5,315.5,"[(75.4,0.3),(76.5,37.5),(27.0,40.5),(43.4,45.1),(48.7,31.3)...]"
WH_0298,73,47.28,48.52,48.27,56.12,2.62,56.1,297.2,"[(97.2,42.5),(89.3,49.5),(21.5,20.8),(76.0,40.5),(4.9,31.4)...]"
WH_0299,71,46.54,50.73,47.52,55.24,9.0,48.4,299.5,"[(3.2,34.0),(56.7,24.1),(30.7,47.1),(88.7,34.0),(53.3,44.7)...]"
WH_0300,54,46.55,49.21,47.53,55.26,5.71,57.3,262.2,"[(59.8,2.8),(14.7,20.1),(40.4,34.8),(75.5,1.5),(1.7,11.8)...]"
WH_0301,57,53.19,54.84,54.31,63.14,3.11,59.8,239.6,"[(83.4,23.9),(50.5,15.8),(9.2,25.8),(29.6,17.8),(97.3,17.2)...]"
WH_0302,72,57.83,62.86,59.05,68.65,8.69,45.8,334.6,"[(21.7,29.4),(28.6,36.2),(38.5,17.8),(91.6,10.9),(36.8,10.7)...]"
WH_0303,71,60.61,64.85,61.88,71.94,7.0,71.7,227.9,"[(45.2,49.4),(19.1,34.9),(75.2,16.1),(32.3,7.6),(25.3,19.6)...]"
WH_0304,63,51.54,55.71,52.62,61.17,8.09,47.0,229.1,"[(7.4,4.8),(56.1,31.0),(35.9,47.2),(9.7,36.1),(30.6,10.7)...]"
WH_0305,65,45.0,47.86,45.95,53.42,6.35,55.8,328.1,"[(62.2,30.0),(59.1,34.9),(4.1,21.6),(46.0,46.3),(43.6,25.1)...]"
WH_0306,79,55.27,56.68,56.43,65.61,2.55,70.1,221.5,"[(50.5,8.1),(65.4,42.5),(59.7,23.0),(63.8,32.7),(23.0,28.3)...]"
WH_0307,56,41.88,44.39,42.75,49.71,6.01,57.3,284.2,"[(36.5,18.7),(76.1,5.2),(15.4,38.1),(7.8,39.3),(63.1,41.8)...]"
WH_0308,70,45.2,46.1,46.15,53.65,2.0,49.7,304.5,"[(66.1,33.1),(23.5,7.5),(28.1,0.9),(68.4,19.8),(53.8,16.1)...]"
WH_0309,61,46.3,50.47,47.27,54.96,9.0,56.0,320.7,"[(16.0,30.1),(48.2,46.6),(69.9,8.5),(30.8,25.8),(66.9,7.9)...]"
WH_0310,61,42.68,43.53,43.58,50.66,2.0,56.2,328.9,"[(93.1,24.7),(8.6,9.1),(80.0,38.4),(12.9,46.0),(8.0,17.1)...]"
WH_0311,77,50.67,52.19,51.74,60.15,3.0,49.8,285.1,"[(31.5,18.3),(48.2,20.6),(48.9,20.2),(61.8,40.8),(88.4,10.9)...]"
WH_0312,73,49.01,51.17,50.04,58.18,4.4,59.9,308.9,"[(95.4,5.6),(57.8,34.1),(40.8,10.8),(24.3,23.8),(19.6,2.5)...]"
WH_0313,73,50.59,54.08,51.65,60.05,6.9,61.4,271.5,"[(31.4,6.4),(54.9,0.9),(34.1,29.1),(69.7,39.5),(98.8,27.7)...]"
WH_0314,79,61.75,66.71,63.05,73.3,8.03,67.0,275.1,"[(82.3,24.1),(93.0,16.7),(0.6,46.8),(7.9,5.1),(67.5,46.3)...]"
WH_0315,64,53.42,56.18,54.55,63.41,5.16,61.6,247.1,"[(47.3,12.7),(26.5,28.2),(28.9,20.3),(98.1,17.3),(88.9,15.5)...]"
WH_0316,72,52.03,54.15,53.12,61.76,4.06,46.0,278.9,"[(4.1,4.3),(13.9,23.3),(27.2,3.8),(88.2,4.3),(85.6,24.4)...]"
